search01               | [2026-02-11T15:39:21,180][INFO ][o.o.m.e.i.MLIndicesHandler] [search01] Using initIndexWithoutThreadContext method to create index: .plugins-ml-model
search01               | [2026-02-11T15:39:21,181][INFO ][o.o.r.m.c.i.LocalClusterIndicesClient] [search01] Searching [.plugins-ml-model]
search01               | [2026-02-11T15:39:21,183][INFO ][o.o.r.m.c.i.LocalClusterIndicesClient] [search01] Search returned 0 hits hits
Downloading: 100% |========================================| all-distilroberta-v1.zip[search01]
search01               | [2026-02-11T15:39:31,179][INFO ][o.o.m.e.i.MLIndicesHandler] [search01] Using initIndexWithoutThreadContext method to create index: .plugins-ml-model
search01               | [2026-02-11T15:39:31,179][INFO ][o.o.r.m.c.i.LocalClusterIndicesClient] [search01] Searching [.plugins-ml-model]
search01               | [2026-02-11T15:39:31,179][INFO ][o.o.r.m.c.i.LocalClusterIndicesClient] [search01] Search returned 0 hits hits
search01               | [2026-02-11T15:39:41,179][INFO ][o.o.m.e.i.MLIndicesHandler] [search01] Using initIndexWithoutThreadContext method to create index: .plugins-ml-model
search01               | [2026-02-11T15:39:41,179][INFO ][o.o.r.m.c.i.LocalClusterIndicesClient] [search01] Searching [.plugins-ml-model]
search01               | [2026-02-11T15:39:41,180][INFO ][o.o.r.m.c.i.LocalClusterIndicesClient] [search01] Search returned 0 hits hits
search01               | [2026-02-11T15:39:51,179][INFO ][o.o.m.e.i.MLIndicesHandler] [search01] Using initIndexWithoutThreadContext method to create index: .plugins-ml-model
search01               | [2026-02-11T15:39:51,180][INFO ][o.o.r.m.c.i.LocalClusterIndicesClient] [search01] Searching [.plugins-ml-model]
search01               | [2026-02-11T15:39:51,182][INFO ][o.o.r.m.c.i.LocalClusterIndicesClient] [search01] Search returned 0 hits hits
search01               | [2026-02-11T15:39:53,500][INFO ][o.o.m.m.MLModelManager   ] [search01] Model registered successfully, model id: p91bTZwB-WdjH_QvWPWf, task id: pd1bTZwB-WdjH_QvUvXQ
search01               | [2026-02-11T15:39:53,501][INFO ][o.o.r.m.c.i.LocalClusterIndicesClient] [search01] Updating p91bTZwB-WdjH_QvWPWf from .plugins-ml-model
search01               | [2026-02-11T15:39:53,526][INFO ][o.o.r.m.c.i.LocalClusterIndicesClient] [search01] Update status for id p91bTZwB-WdjH_QvWPWf: UPDATED
search01               | [2026-02-11T15:39:53,527][INFO ][o.o.m.m.MLModelManager   ] [search01] Successfully updated the model with ID: p91bTZwB-WdjH_QvWPWf
search01               | [2026-02-11T15:39:53,527][INFO ][o.o.r.m.c.i.LocalClusterIndicesClient] [search01] Updating pd1bTZwB-WdjH_QvUvXQ from .plugins-ml-task
search01               | [2026-02-11T15:39:53,540][INFO ][o.o.r.m.c.i.LocalClusterIndicesClient] [search01] Update status for id pd1bTZwB-WdjH_QvUvXQ: UPDATED
search01               | [2026-02-11T15:39:53,540][INFO ][o.o.m.t.MLTaskManager    ] [search01] Successfully updated the task with ID: pd1bTZwB-WdjH_QvUvXQ
search01               | [2026-02-11T15:39:56,697][DEPRECATION][o.o.d.r.RestController   ] [search01] [POST /_plugins/_ml/models/{model_id}/_load] is deprecated! Use [POST /_plugins/_ml/models/{model_id}/_deploy] instead.
search01               | [2026-02-11T15:39:56,700][INFO ][o.o.m.a.d.TransportDeployModelAction] [search01] Starting model deployment for model: p91bTZwB-WdjH_QvWPWf
search01               | [2026-02-11T15:39:56,700][INFO ][o.o.m.a.d.TransportDeployModelAction] [search01] Will deploy model on these nodes: KFKqEThRRjSKJN3fuSeacg
search01               | [2026-02-11T15:39:56,701][INFO ][o.o.m.e.i.MLIndicesHandler] [search01] Using initIndexWithoutThreadContext method to create index: .plugins-ml-task
search01               | [2026-02-11T15:39:56,701][INFO ][o.o.r.m.c.i.LocalClusterIndicesClient] [search01] Indexing data object in .plugins-ml-task
search01               | [2026-02-11T15:39:56,722][INFO ][o.o.r.m.c.i.LocalClusterIndicesClient] [search01] Creation status for id qN1bTZwB-WdjH_Qv7_Wd: CREATED
search01               | [2026-02-11T15:39:56,722][INFO ][o.o.m.t.MLTaskManager    ] [search01] Task creation result: CREATED, Task id: qN1bTZwB-WdjH_Qv7_Wd
search01               | [2026-02-11T15:39:56,725][INFO ][o.o.r.m.c.i.LocalClusterIndicesClient] [search01] Updating p91bTZwB-WdjH_QvWPWf from .plugins-ml-model
search01               | [2026-02-11T15:39:56,739][INFO ][o.o.r.m.c.i.LocalClusterIndicesClient] [search01] Update status for id p91bTZwB-WdjH_QvWPWf: UPDATED
search01               | [2026-02-11T15:39:56,739][INFO ][o.o.m.m.MLModelManager   ] [search01] Successfully updated the model with ID: p91bTZwB-WdjH_QvWPWf
search01               | [2026-02-11T15:39:56,742][INFO ][o.o.r.m.c.i.LocalClusterIndicesClient] [search01] Updating qN1bTZwB-WdjH_Qv7_Wd from .plugins-ml-task
search01               | [2026-02-11T15:39:56,745][ERROR][o.o.m.m.MLModelManager   ] [search01] No controller is deployed because the model p91bTZwB-WdjH_QvWPWf is expected not having an enabled model controller. Please use the create model controller api to create one if this is unexpected.
search01               | [2026-02-11T15:39:56,758][INFO ][o.o.r.m.c.i.LocalClusterIndicesClient] [search01] Update status for id qN1bTZwB-WdjH_Qv7_Wd: UPDATED
search01               | [2026-02-11T15:39:56,759][INFO ][o.o.m.t.MLTaskManager    ] [search01] Successfully updated the task with ID: qN1bTZwB-WdjH_Qv7_Wd
search01               | [2026-02-11T15:40:00,303][INFO ][o.o.i.MergeSchedulerConfig] [search01] Updating autoThrottle for index fess_log.search_log from [false] to [true]
search01               | [2026-02-11T15:40:00,304][INFO ][o.o.i.MergeSchedulerConfig] [search01] Updating maxThreadCount from [0] to [4] and maxMergeCount from [0] to [9] for index fess_log.search_log.
search01               | [2026-02-11T15:40:00,304][INFO ][o.o.i.MergeSchedulerConfig] [search01] Initialized index fess_log.search_log with maxMergeCount=9, maxThreadCount=4, autoThrottleEnabled=true
search01               | [2026-02-11T15:40:00,306][INFO ][o.o.p.PluginsService     ] [search01] PluginService:onIndexModule index:[fess_log.search_log/C4XFdjKWSqaUxQFR5yLJTA]
search01               | [2026-02-11T15:40:00,319][INFO ][o.o.c.m.MetadataMappingService] [search01] [fess_log.search_log/C4XFdjKWSqaUxQFR5yLJTA] update_mapping [_doc]
search01               | [2026-02-11T15:40:00,389][DEPRECATION][o.o.d.c.m.IndexNameExpressionResolver] [search01] this request accesses system indices: [.plugins-ml-model], but in a future major version, direct access to system indices will be prevented by default
search01               | [2026-02-11T15:40:00,389][DEPRECATION][o.o.d.c.m.IndexNameExpressionResolver] [search01] this request accesses system indices: [.plugins-ml-model-group], but in a future major version, direct access to system indices will be prevented by default
